dt,sum_transaction_balance_change,sum_transaction_balance_change_cs,sum_classes,sum_classes_cs,sum_balance
2016-01-06,11,11,0,0,11
2016-01-07,0,11,0,0,11
2016-01-08,80,91,0,0,91
2016-01-09,16,107,-1,-1,106
2016-01-10,8,115,-1,-2,113
2016-01-11,32,147,-1,-3,144
2016-01-12,4,151,-6,-9,142
2016-01-13,14,165,-2,-11,154
2016-01-14,0,165,-4,-15,150
2016-01-15,80,245,-3,-18,227
2016-01-16,9,254,0,-18,236
2016-01-17,74,328,-4,-22,306
2016-01-18,6,334,-5,-27,307
2016-01-19,38,372,-6,-33,339
2016-01-20,9,381,-8,-41,340
2016-01-21,16,397,-8,-49,348
2016-01-22,9,406,-3,-52,354
2016-01-23,4,410,-3,-55,355
2016-01-24,0,410,-7,-62,348
2016-01-25,0,410,-5,-67,343
2016-01-26,20,430,-7,-74,356
2016-01-27,27,457,-9,-83,374
2016-01-28,4,461,-13,-96,365
2016-01-29,0,461,-6,-102,359
2016-01-30,0,461,-4,-106,355
2016-01-31,36,497,-4,-110,387
2016-02-01,16,513,-8,-118,395
2016-02-02,18,531,-11,-129,402
2016-02-03,65,596,-13,-142,454
2016-02-04,2,598,-19,-161,437
2016-02-05,12,610,-4,-165,445
2016-02-06,20,630,-8,-173,457
2016-02-07,78,708,-8,-181,527
2016-02-08,32,740,-10,-191,549
2016-02-09,77,817,-14,-205,612
2016-02-10,128,945,-17,-222,723
2016-02-11,20,965,-20,-242,723
2016-02-12,0,965,-9,-251,714
2016-02-13,24,989,-9,-260,729
2016-02-14,90,1079,-5,-265,814
2016-02-15,46,1125,-17,-282,843
2016-02-16,70,1195,-13,-295,900
2016-02-17,20,1215,-17,-312,903
2016-02-18,8,1223,-23,-335,888
2016-02-19,5,1228,-12,-347,881
2016-02-20,17,1245,-10,-357,888
2016-02-21,65,1310,-13,-370,940
2016-02-22,28,1338,-16,-386,952
2016-02-23,69,1407,-16,-402,1005
2016-02-24,42,1449,-22,-424,1025
2016-02-25,34,1483,-23,-447,1036
2016-02-26,68,1551,-14,-461,1090
2016-02-27,4,1555,-12,-473,1082
2016-02-28,4,1559,-14,-487,1072
2016-02-29,123,1682,-25,-512,1170
2016-03-01,116,1798,-21,-533,1265
2016-03-02,35,1833,-28,-561,1272
2016-03-03,26,1859,-24,-585,1274
2016-03-04,98,1957,-17,-602,1355
2016-03-05,39,1996,-15,-617,1379
2016-03-06,6,2002,-10,-627,1375
2016-03-07,29,2031,-25,-652,1379
2016-03-08,5,2036,-8,-660,1376
2016-03-09,15,2051,-31,-691,1360
2016-03-10,59,2110,-30,-721,1389
2016-03-11,25,2135,-16,-737,1398
2016-03-12,38,2173,-18,-755,1418
2016-03-13,0,2173,-19,-774,1399
2016-03-14,33,2206,-36,-810,1396
2016-03-15,38,2244,-20,-830,1414
2016-03-16,24,2268,-40,-870,1398
2016-03-17,23,2291,-33,-903,1388
2016-03-18,25,2316,-24,-927,1389
2016-03-19,17,2333,-27,-954,1379
2016-03-20,32,2365,-23,-977,1388
2016-03-21,48,2413,-42,-1019,1394
2016-03-22,20,2433,-17,-1036,1397
2016-03-23,6,2439,-41,-1077,1362
2016-03-24,16,2455,-30,-1107,1348
2016-03-25,36,2491,-21,-1128,1363
2016-03-26,95,2586,-23,-1151,1435
2016-03-27,5,2591,-23,-1174,1417
2016-03-28,139,2730,-33,-1207,1523
2016-03-29,8,2738,-23,-1230,1508
2016-03-30,71,2809,-42,-1272,1537
2016-03-31,14,2823,-44,-1316,1507
2016-04-01,180,3003,-25,-1341,1662
2016-04-02,22,3025,-32,-1373,1652
2016-04-03,50,3075,-22,-1395,1680
2016-04-04,26,3101,-43,-1438,1663
2016-04-05,27,3128,-28,-1466,1662
2016-04-06,12,3140,-48,-1514,1626
2016-04-07,56,3196,-41,-1555,1641
2016-04-08,87,3283,-26,-1581,1702
2016-04-09,59,3342,-30,-1611,1731
2016-04-10,18,3360,-30,-1641,1719
2016-04-11,56,3416,-43,-1684,1732
2016-04-12,24,3440,-32,-1716,1724
2016-04-13,26,3466,-44,-1760,1706
2016-04-14,43,3509,-43,-1803,1706
2016-04-15,19,3528,-34,-1837,1691
2016-04-16,66,3594,-29,-1866,1728
2016-04-17,26,3620,-28,-1894,1726
2016-04-18,83,3703,-49,-1943,1760
2016-04-19,9,3712,-34,-1977,1735
2016-04-20,31,3743,-41,-2018,1725
2016-04-21,131,3874,-47,-2065,1809
2016-04-22,40,3914,-34,-2099,1815
2016-04-23,89,4003,-27,-2126,1877
2016-04-24,76,4079,-36,-2162,1917
2016-04-25,0,4079,-49,-2211,1868
2016-04-26,81,4160,-44,-2255,1905
2016-04-27,37,4197,-51,-2306,1891
2016-04-28,53,4250,-49,-2355,1895
2016-04-29,61,4311,-33,-2388,1923
2016-04-30,34,4345,-25,-2413,1932
2016-05-01,21,4366,-17,-2430,1936
2016-05-02,102,4468,-24,-2454,2014
2016-05-03,80,4548,-35,-2489,2059
2016-05-04,68,4616,-45,-2534,2082
2016-05-05,41,4657,-47,-2581,2076
2016-05-06,28,4685,-44,-2625,2060
2016-05-07,0,4685,-24,-2649,2036
2016-05-08,0,4685,-24,-2673,2012
2016-05-09,16,4701,-21,-2694,2007
2016-05-10,16,4717,-46,-2740,1977
2016-05-11,38,4755,-48,-2788,1967
2016-05-12,53,4808,-55,-2843,1965
2016-05-13,98,4906,-42,-2885,2021
2016-05-14,112,5018,-42,-2927,2091
2016-05-15,59,5077,-34,-2961,2116
2016-05-16,102,5179,-53,-3014,2165
2016-05-17,28,5207,-45,-3059,2148
2016-05-18,75,5282,-58,-3117,2165
2016-05-19,53,5335,-57,-3174,2161
2016-05-20,46,5381,-39,-3213,2168
2016-05-21,43,5424,-40,-3253,2171
2016-05-22,22,5446,-30,-3283,2163
2016-05-23,32,5478,-55,-3338,2140
2016-05-24,56,5534,-54,-3392,2142
2016-05-25,28,5562,-58,-3450,2112
2016-05-26,12,5574,-61,-3511,2063
2016-05-27,21,5595,-47,-3558,2037
2016-05-28,5,5600,-34,-3592,2008
2016-05-29,5,5605,-24,-3616,1989
2016-05-30,115,5720,-61,-3677,2043
2016-05-31,89,5809,-44,-3721,2088
2016-06-01,70,5879,-53,-3774,2105
2016-06-02,39,5918,-65,-3839,2079
2016-06-03,53,5971,-43,-3882,2089
2016-06-04,82,6053,-39,-3921,2132
2016-06-05,126,6179,-34,-3955,2224
2016-06-06,133,6312,-49,-4004,2308
2016-06-07,92,6404,-51,-4055,2349
2016-06-08,51,6455,-58,-4113,2342
2016-06-09,112,6567,-60,-4173,2394
2016-06-10,20,6587,-52,-4225,2362
2016-06-11,82,6669,-37,-4262,2407
2016-06-12,100,6769,-28,-4290,2479
2016-06-13,28,6797,-44,-4334,2463
2016-06-14,104,6901,-53,-4387,2514
2016-06-15,38,6939,-60,-4447,2492
2016-06-16,90,7029,-53,-4500,2529
2016-06-17,0,7029,-53,-4553,2476
2016-06-18,9,7038,-24,-4577,2461
2016-06-19,32,7070,-25,-4602,2468
2016-06-20,108,7178,-59,-4661,2517
2016-06-21,88,7266,-56,-4717,2549
2016-06-22,24,7290,-68,-4785,2505
2016-06-23,32,7322,-60,-4845,2477
2016-06-24,25,7347,-48,-4893,2454
2016-06-25,16,7363,-28,-4921,2442
2016-06-26,14,7377,-31,-4952,2425
2016-06-27,72,7449,-60,-5012,2437
2016-06-28,47,7496,-49,-5061,2435
2016-06-29,109,7605,-58,-5119,2486
2016-06-30,21,7626,-68,-5187,2439
2016-07-01,183,7809,-49,-5236,2573
2016-07-02,18,7827,-22,-5258,2569
2016-07-03,14,7841,-32,-5290,2551
2016-07-04,60,7901,-49,-5339,2562
2016-07-05,46,7947,-48,-5387,2560
2016-07-06,70,8017,-59,-5446,2571
2016-07-07,78,8095,-60,-5506,2589
2016-07-08,19,8114,-42,-5548,2566
2016-07-09,16,8130,-29,-5577,2553
2016-07-10,76,8206,-29,-5606,2600
2016-07-11,65,8271,-62,-5668,2603
2016-07-12,30,8301,-53,-5721,2580
2016-07-13,35,8336,-51,-5772,2564
2016-07-14,18,8354,-68,-5840,2514
2016-07-15,16,8370,-39,-5879,2491
2016-07-16,20,8390,-31,-5910,2480
2016-07-17,20,8410,-28,-5938,2472
2016-07-18,28,8438,-54,-5992,2446
2016-07-19,42,8480,-59,-6051,2429
2016-07-20,199,8679,-63,-6114,2565
2016-07-21,22,8701,-65,-6179,2522
2016-07-22,20,8721,-44,-6223,2498
2016-07-23,32,8753,-24,-6247,2506
2016-07-24,49,8802,-27,-6274,2528
2016-07-25,56,8858,-55,-6329,2529
2016-07-26,149,9007,-54,-6383,2624
2016-07-27,36,9043,-54,-6437,2606
2016-07-28,48,9091,-60,-6497,2594
2016-07-29,31,9122,-34,-6531,2591
2016-07-30,41,9163,-30,-6561,2602
2016-07-31,37,9200,-29,-6590,2610
2016-08-01,66,9266,-56,-6646,2620
2016-08-02,52,9318,-57,-6703,2615
2016-08-03,6,9324,-62,-6765,2559
2016-08-04,108,9432,-47,-6812,2620
2016-08-05,56,9488,-39,-6851,2637
2016-08-06,81,9569,-31,-6882,2687
2016-08-07,16,9585,-25,-6907,2678
2016-08-08,65,9650,-61,-6968,2682
2016-08-09,106,9756,-49,-7017,2739
2016-08-10,62,9818,-60,-7077,2741
2016-08-11,96,9914,-52,-7129,2785
2016-08-12,14,9928,-41,-7170,2758
2016-08-13,51,9979,-26,-7196,2783
2016-08-14,47,10026,-24,-7220,2806
2016-08-15,74,10100,-62,-7282,2818
2016-08-16,47,10147,-62,-7344,2803
2016-08-17,42,10189,-74,-7418,2771
2016-08-18,50,10239,-72,-7490,2749
2016-08-19,20,10259,-40,-7530,2729
2016-08-20,106,10365,-40,-7570,2795
2016-08-21,46,10411,-29,-7599,2812
2016-08-22,34,10445,-60,-7659,2786
2016-08-23,32,10477,-76,-7735,2742
2016-08-24,94,10571,-64,-7799,2772
2016-08-25,27,10598,-78,-7877,2721
2016-08-26,47,10645,-46,-7923,2722
2016-08-27,0,10645,-33,-7956,2689
2016-08-28,36,10681,-34,-7990,2691
2016-08-29,48,10729,-68,-8058,2671
2016-08-30,80,10809,-64,-8122,2687
2016-08-31,170,10979,-70,-8192,2787
2016-09-01,169,11148,-60,-8252,2896
2016-09-02,54,11202,-46,-8298,2904
2016-09-03,22,11224,-28,-8326,2898
2016-09-04,42,11266,-29,-8355,2911
2016-09-05,24,11290,-66,-8421,2869
2016-09-06,14,11304,-68,-8489,2815
2016-09-07,106,11410,-65,-8554,2856
2016-09-08,88,11498,-74,-8628,2870
2016-09-09,109,11607,-43,-8671,2936
2016-09-10,80,11687,-36,-8707,2980
2016-09-11,34,11721,-27,-8734,2987
2016-09-12,61,11782,-68,-8802,2980
2016-09-13,129,11911,-71,-8873,3038
2016-09-14,65,11976,-74,-8947,3029
2016-09-15,80,12056,-80,-9027,3029
2016-09-16,74,12130,-58,-9085,3045
2016-09-17,62,12192,-29,-9114,3078
2016-09-18,55,12247,-36,-9150,3097
2016-09-19,50,12297,-82,-9232,3065
2016-09-20,104,12401,-74,-9306,3095
2016-09-21,76,12477,-72,-9378,3099
2016-09-22,105,12582,-82,-9460,3122
2016-09-23,98,12680,-63,-9523,3157
2016-09-24,71,12751,-37,-9560,3191
2016-09-25,71,12822,-34,-9594,3228
2016-09-26,87,12909,-78,-9672,3237
2016-09-27,61,12970,-79,-9751,3219
2016-09-28,63,13033,-78,-9829,3204
2016-09-29,219,13252,-79,-9908,3344
2016-09-30,126,13378,-60,-9968,3410
2016-10-01,14,13392,-43,-10011,3381
2016-10-02,38,13430,-43,-10054,3376
2016-10-03,161,13591,-99,-10153,3438
2016-10-04,116,13707,-73,-10226,3481
2016-10-05,93,13800,-77,-10303,3497
2016-10-06,155,13955,-87,-10390,3565
2016-10-07,71,14026,-60,-10450,3576
2016-10-08,121,14147,-44,-10494,3653
2016-10-09,29,14176,-38,-10532,3644
2016-10-10,115,14291,-84,-10616,3675
2016-10-11,20,14311,-73,-10689,3622
2016-10-12,108,14419,-79,-10768,3651
2016-10-13,95,14514,-95,-10863,3651
2016-10-14,37,14551,-63,-10926,3625
2016-10-15,42,14593,-46,-10972,3621
2016-10-16,116,14709,-39,-11011,3698
2016-10-17,87,14796,-93,-11104,3692
2016-10-18,75,14871,-76,-11180,3691
2016-10-19,91,14962,-92,-11272,3690
2016-10-20,147,15109,-98,-11370,3739
2016-10-21,137,15246,-70,-11440,3806
2016-10-22,21,15267,-50,-11490,3777
2016-10-23,88,15355,-42,-11532,3823
2016-10-24,119,15474,-96,-11628,3846
2016-10-25,95,15569,-83,-11711,3858
2016-10-26,227,15796,-92,-11803,3993
2016-10-27,72,15868,-104,-11907,3961
2016-10-28,102,15970,-80,-11987,3983
2016-10-29,99,16069,-44,-12031,4038
2016-10-30,32,16101,-39,-12070,4031
2016-10-31,138,16239,-106,-12176,4063
2016-11-01,260,16499,-94,-12270,4229
2016-11-02,113,16612,-92,-12362,4250
2016-11-03,85,16697,-95,-12457,4240
2016-11-04,27,16724,-64,-12521,4203
2016-11-05,70,16794,-45,-12566,4228
2016-11-06,84,16878,-47,-12613,4265
2016-11-07,92,16970,-96,-12709,4261
2016-11-08,56,17026,-87,-12796,4230
2016-11-09,241,17267,-112,-12908,4359
2016-11-10,120,17387,-104,-13012,4375
2016-11-11,112,17499,-77,-13089,4410
2016-11-12,51,17550,-45,-13134,4416
2016-11-13,84,17634,-54,-13188,4446
2016-11-14,144,17778,-120,-13308,4470
2016-11-15,101,17879,-104,-13412,4467
2016-11-16,123,18002,-109,-13521,4481
2016-11-17,43,18045,-102,-13623,4422
2016-11-18,63,18108,-89,-13712,4396
2016-11-19,47,18155,-50,-13762,4393
2016-11-20,80,18235,-57,-13819,4416
2016-11-21,169,18404,-112,-13931,4473
2016-11-22,16,18420,-105,-14036,4384
2016-11-23,19,18439,-116,-14152,4287
2016-11-24,103,18542,-88,-14240,4302
2016-11-25,89,18631,-69,-14309,4322
2016-11-26,147,18778,-48,-14357,4421
2016-11-27,49,18827,-58,-14415,4412
2016-11-28,119,18946,-102,-14517,4429
2016-11-29,102,19048,-114,-14631,4417
2016-11-30,123,19171,-105,-14736,4435
2016-12-01,33,19204,-105,-14841,4363
2016-12-02,71,19275,-84,-14925,4350
2016-12-03,44,19319,-51,-14976,4343
2016-12-04,23,19342,-66,-15042,4300
2016-12-05,74,19416,-100,-15142,4274
2016-12-06,78,19494,-102,-15244,4250
2016-12-07,58,19552,-107,-15351,4201
2016-12-08,142,19694,-109,-15460,4234
2016-12-09,70,19764,-90,-15550,4214
2016-12-10,27,19791,-55,-15605,4186
2016-12-11,99,19890,-63,-15668,4222
2016-12-12,130,20020,-108,-15776,4244
2016-12-13,47,20067,-97,-15873,4194
2016-12-14,49,20116,-109,-15982,4134
2016-12-15,220,20336,-101,-16083,4253
2016-12-16,70,20406,-86,-16169,4237
2016-12-17,52,20458,-51,-16220,4238
2016-12-18,29,20487,-60,-16280,4207
2016-12-19,77,20564,-116,-16396,4168
2016-12-20,51,20615,-88,-16484,4131
2016-12-21,95,20710,-108,-16592,4118
2016-12-22,31,20741,-101,-16693,4048
2016-12-23,88,20829,-66,-16759,4070
2016-12-24,79,20908,-50,-16809,4099
2016-12-25,100,21008,-49,-16858,4150
2016-12-26,156,21164,-98,-16956,4208
2016-12-27,193,21357,-81,-17037,4320
2016-12-28,161,21518,-99,-17136,4382
2016-12-29,75,21593,-75,-17211,4382
2016-12-30,57,21650,-46,-17257,4393
2016-12-31,148,21798,-7,-17264,4534
